DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/18/2016,6:15,MANHATTAN,10035,40.802444,-73.938835,"(40.802444, -73.938835)",EAST 122 STREET                 ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Aggressive Driving/Road Rage,,,,3464074,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,6:00,MANHATTAN,10035,40.797306,-73.93446,"(40.797306, -73.93446)",1 AVENUE                        ,EAST 118 STREET,,3,0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,,,3464076,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,6:00,BROOKLYN,11225,40.660435,-73.94542,"(40.660435, -73.94542)",MIDWOOD STREET                  ,BROOKLYN AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3464471,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,6:00,QUEENS,11421,40.69103,-73.85074,"(40.69103, -73.85074)",,,89-21     WOODHAVEN BOULEVARD           ,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,,,3464618,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,5:30,QUEENS,11357,40.78628,-73.79862,"(40.78628, -73.79862)",,,164-13    CROSS ISLAND PARKWAY          ,2,0,0,0,0,0,2,0,Unspecified,,,,,3463413,PASSENGER VEHICLE,,,,
06/18/2016,5:30,,,40.766685,-73.892136,"(40.766685, -73.892136)",ASTORIA BOULEVARD               ,77 STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3463924,PASSENGER VEHICLE,,,,
06/18/2016,5:30,MANHATTAN,10001,40.748466,-73.99247,"(40.748466, -73.99247)",7 AVENUE                        ,WEST 30 STREET,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,3463966,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,5:30,BROOKLYN,11212,40.66331,-73.92106,"(40.66331, -73.92106)",EAST 98 STREET                  ,WINTHROP STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,3484591,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,5:30,,,,,,MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,3463629,PASSENGER VEHICLE,,,,
06/18/2016,5:30,,,,,,CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3463631,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,5:30,QUEENS,11355,40.755173,-73.82436,"(40.755173, -73.82436)",,,43-10     KISSENA BOULEVARD             ,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3463851,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,5:30,MANHATTAN,10033,40.848087,-73.93462,"(40.848087, -73.93462)",,,1380      SAINT NICHOLAS AVENUE         ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3464154,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
